125	36650	0.00	2.1	10	16.7
126	36651	0.00	4.0	9	23.9
127	36652	4.52	4.0	12.8	26.2
128	36653	0.35	2.8	12.5	21.5
129	36654	12.53	3.5	12.2	24.6
130	36655	0.06	4.1	14.3	25.6
131	36656	1.22	3.2	14.4	23.7
132	36657	9.78	2.9	15	21.4
133	36658	9.12	1.9	14.6	18.5
134	36659	0.10	2.5	14.6	22
135	36660	0.00	4.1	12.8	25.4
136	36661	0.00	4.6	12.8	26.2
137	36662	8.80	4.4	16.2	27.1
138	36663	0.60	3.3	11	16.3
139	36664	2.32	3.3	9.5	15.7
140	36665	2.63	2.1	8.8	11.8
141	36666	3.87	2.9	7.7	15.8
142	36667	9.05	1.8	9.5	11.1
143	36668	0.14	2.5	9.7	15.9
144	36669	6.09	2.9	9.8	19.4
145	36670	13.56	2.7	12.3	18.3
146	36671	0.23	3.1	10.6	15.6
147	36672	5.43	2.9	8.9	17.9
148	36673	11.49	3.6	9.4	16.6
149	36674	4.94	2.3	8.9	12.5
150	36675	0.00	3.4	8.1	15.1
151	36676	1.65	1.8	7.6	12.7
152	36677	0.00	3.2	6.4	18.4
153	36678	0.00	3.0	12.6	18.4
154	36679	0.00	3.7	13	23.1
155	36680	10.84	4.2	11	24.9
156	36681	0.00	3.1	13.2	19.1
157	36682	12.89	2.0	8.3	13.2
158	36683	0.27	3.0	11.2	18.4
159	36684	0.00	3.5	9.7	17.8
160	36685	0.00	4.9	7.7	22.7
161	36686	3.94	5.5	13.7	27.2
162	36687	0.00	2.1	13.6	17.6
163	36688	0.00	3.4	8.1	18.1
164	36689	0.00	3.7	9.8	20.4
165	36690	0.00	4.2	14.3	22.4
166	36691	0.00	2.5	13.9	20.7
167	36692	0.00	3.5	14.6	19.8
168	36693	0.00	3.7	10.9	19.9
169	36694	0.00	4.8	10.3	22.8
170	36695	0.00	5.1	14.4	29
171	36696	0.00	6.3	18.3	31.6
172	36697	0.00	5.9	19.9	30.6
173	36698	0.92	3.6	17.3	23.5
174	36699	0.00	3.5	14.5	19.4
175	36700	1.41	3.4	13.1	20.3
176	36701	1.03	2.1	11.3	14.7
177	36702	0.10	2.6	10.9	16.6
178	36703	0.00	3.3	8.3	17
179	36704	0.00	3.9	5.8	18.8
180	36705	0.00	3.8	8.6	17.4
181	36706	1.21	1.8	7.6	14.1
182	36707	0.80	2.6	12.1	19.6
183	36708	1.97	2.8	14	22.2
184	36709	7.81	3.5	15.4	23.4
185	36710	8.63	2.9	13.6	21.6
186	36711	12.91	2.9	13.5	22
187	36712	2.29	2.5	12.9	18.4
188	36713	0.14	2.6	12.8	19.8
189	36714	2.74	2.1	12.6	15.9
190	36715	1.71	2.3	7.9	16.9
191	36716	7.74	2.0	12.5	17.2
192	36717	6.04	3.6	12.4	18.9
193	36718	12.60	1.9	11.5	14.1
194	36719	1.03	3.1	7.4	17.1
195	36720	4.98	1.9	12.8	16
196	36721	11.52	2.5	12.9	15.5
197	36722	3.39	2.5	11	16.6
198	36723	1.60	1.8	11.3	15.1
199	36724	0.14	1.8	11.1	15.3
200	36725	0.00	3.4	7.1	18.8
201	36726	0.00	3.1	12.4	21
202	36727	0.00	4.4	14.4	21.7
203	36728	0.00	1.7	11.3	15.9
204	36729	0.07	2.4	12.2	17
205	36730	0.00	3.2	13.8	21.8
206	36731	31.35	2.3	14.8	20.9
207	36732	0.14	1.9	13.8	16.5
208	36733	0.00	2.0	14.1	18.7
209	36734	11.69	1.8	13.4	19.3
210	36735	10.04	2.6	13.6	20.2
211	36736	2.66	2.9	13.5	21.2
212	36737	1.53	2.6	13.5	21.9
213	36738	0.07	4.5	11.7	24.8
214	36739	2.43	4.9	16.8	28.3
215	36740	0.00	4.1	13.8	22.5
216	36741	2.10	3.7	13.7	22
217	36742	0.20	2.3	13.7	19.3
218	36743	0.00	2.9	10	21
219	36744	0.00	2.5	11.8	21.4
220	36745	0.00	2.1	15	22.3
221	36746	0.00	3.0	16.4	23.6
222	36747	0.00	3.5	13	23.7
223	36748	0.00	2.5	15.8	21.5
224	36749	0.00	3.6	13.3	24.8
225	36750	0.00	4.2	13	26.2
226	36751	1.29	4.2	17.9	29.1
227	36752	0.65	3.3	17.6	26.1
228	36753	0.00	3.3	15.8	21.9
229	36754	2.35	3.1	14.8	22.8
230	36755	0.00	3.8	14.5	21.7
231	36756	1.94	2.9	12.9	22.2
232	36757	23.42	2.4	15.7	23
233	36758	3.07	2.9	13.6	21.8
234	36759	0.89	2.4	12.7	19.8
235	36760	0.00	3.1	11.2	20.6
236	36761	0.00	3.6	10.8	22.1
237	36762	0.00	3.7	11.7	24.4
238	36763	0.00	3.9	12	23.7
239	36764	0.00	3.6	13	25.4
240	36765	3.24	2.7	14.7	20.9
241	36766	0.20	2.8	12	19
242	36767	0.00	2.9	11.8	20.1
243	36768	0.00	2.9	12.1	20.1
244	36769	0.33	2.7	9.2	21
245	36770	11.30	3.0	13.6	20.6
246	36771	3.06	2.2	13.1	18.7
247	36772	0.64	1.9	11.7	16.3
248	36773	0.00	1.7	11.6	16.6
249	36774	1.02	2.2	9.5	19.3
250	36775	3.13	1.8	13.7	16.8
251	36776	0.00	2.1	9.8	18.1
252	36777	0.07	1.9	15	21
253	36778	0.00	1.7	17.2	21.9
254	36779	0.00	2.8	13.1	24.3
255	36780	0.00	3.2	15.2	26.3
256	36781	0.00	1.7	14.9	20.6
257	36782	0.00	1.8	13.1	20.3
258	36783	0.00	2.1	14	21.2
259	36784	32.53	2.2	13	23.3
260	36785	11.78	1.1	13	16.2
261	36786	0.00	1.5	13.6	17.8
262	36787	0.00	2.0	13.2	19.4
263	36788	0.96	3.2	14.2	22.3
264	36789	0.00	2.3	12.5	18.6
265	36790	0.00	2.3	9.8	19.8
266	36791	0.07	1.8	13.3	21.3
267	36792	0.00	2.6	15.3	22.2
268	36793	0.50	2.2	9.9	21.8
269	36794	2.46	1.7	11.5	19.1
270	36795	9.77	2.8	14	23.8
271	36796	3.43	2.4	13.2	19.5
272	36797	5.99	1.7	14.1	16.6
273	36798	4.38	1.1	15.3	18.1
274	36799	0.39	1.1	13.6	16.5
275	36800	0.00	1.4	11	18
276	36801	3.31	1.1	11.3	15.5
